# data/english_hindi_pairs.csv
english,hindi
Hello,नमस्ते
How are you?,आप कैसे हैं?
What is your name?,आपका नाम क्या है?
I am fine,मैं ठीक हूँ
Thank you,धन्यवाद
Good morning,शुभ प्रभात
Good night,शुभ रात्रि
I love you,मैं तुमसे प्यार करता हूँ
Where are you going?,आप कहाँ जा रहे हैं?
What is this?,यह क्या है?
My name is John,मेरा नाम जॉन है
I am learning Hindi,मैं हिंदी सीख रहा हूँ
This is a book,यह एक किताब है
I am hungry,मुझे भूख लगी है
I am thirsty,मुझे प्यास लगी है
How much does this cost?,यह कितने का है?
Where is the station?,स्टेशन कहाँ है?
I don't understand,मैं समझा नहीं
Please speak slowly,कृपया धीरे बोलिए
Can you help me?,क्या आप मेरी मदद कर सकते हैं?
I need water,मुझे पानी चाहिए
What time is it?,क्या समय हुआ है?
I like this,मुझे यह पसंद है
I don't like that,मुझे वह पसंद नहीं है
Where do you live?,आप कहाँ रहते हैं?
I live in Delhi,मैं दिल्ली में रहता हूँ
How old are you?,आपकी उम्र क्या है?
I am 25 years old,मैं 25 साल का हूँ
What do you do?,आप क्या करते हैं?
I am a student,मैं एक छात्र हूँ
This is delicious,यह स्वादिष्ट है
I am tired,मैं थक गया हूँ
Let's go,चलो चलें
Wait a minute,एक मिनट रुको
See you later,बाद में मिलते हैं
Have a nice day,आपका दिन शुभ हो
Excuse me,माफ कीजिए
I am sorry,मुझे माफ कर दो
Congratulations,बधाई हो
Happy birthday,जन्मदिन मुबारक हो
Happy Diwali,शुभ दीपावली
Merry Christmas,क्रिसमस की बधाई
