# data/english_tamil_pairs.csv
english,tamil
Hello,வணக்கம்
How are you?,நீங்கள் எப்படி இருக்கிறீர்கள்?
What is your name?,உங்கள் பெயர் என்ன?
I am fine,நான் நன்றாக இருக்கிறேன்
Thank you,நன்றி
Good morning,காலை வணக்கம்
Good night,இரவு வணக்கம்
I love you,நான் உன்னை காதலிக்கிறேன்
Where are you going?,நீங்கள் எங்கே செல்கிறீர்கள்?
What is this?,இது என்ன?
My name is John,என் பெயர் ஜான்
I am learning Tamil,நான் தமிழ் கற்றுக் கொண்டிருக்கிறேன்
This is a book,இது ஒரு புத்தகம்
I am hungry,எனக்கு பசிக்கிறது
I am thirsty,எனக்கு தாகமாக உள்ளது
How much does this cost?,இது எவ்வளவு செலவாகும்?
Where is the station?,நிலையம் எங்கே?
I don't understand,எனக்கு புரியவில்லை
Please speak slowly,தயவுசெய்து மெதுவாக பேசுங்கள்
Can you help me?,நீங்கள் எனக்கு உதவ முடியுமா?
I need water,எனக்கு தண்ணீர் வேண்டும்
What time is it?,இப்போது நேரம் என்ன?
I like this,எனக்கு இது பிடிக்கும்
I don't like that,எனக்கு அது பிடிக்கவில்லை
Where do you live?,நீங்கள் எங்கே வசிக்கிறீர்கள்?
I live in Chennai,நான் சென்னையில் வசிக்கிறேன்
How old are you?,உங்கள் வயது என்ன?
I am 25 years old,நான் 25 வயதானவன்
What do you do?,நீங்கள் என்ன செய்கிறீர்கள்?
I am a student,நான் ஒரு மாணவன்
This is delicious,இது சுவையாக உள்ளது
I am tired,நான் களைப்பாக உள்ளேன்
Let's go,போகலாம்
Wait a minute,ஒரு நிமிடம் காத்திருங்கள்
See you later,பிறகு பார்க்கலாம்
Have a nice day,நல்ல நாள்
Excuse me,மன்னிக்கவும்
I am sorry,என்னை மன்னிக்கவும்
Congratulations,வாழ்த்துக்கள்
Happy birthday,பிறந்தநாள் வாழ்த்துக்கள்
Happy Diwali,தீபாவளி வாழ்த்துக்கள்
Merry Christmas,கிறிஸ்துமஸ் வாழ்த்துக்கள்
